pre.reason,post.reason
The ongoing series of incidents involving this country as circumstantial evidence. The tracing of the attack to servers in Vadare would also suggest the attack came from them. I would be cautious of being completely sure about accusing this country until more evidence was available.,This new evidence would indicate that Vadare might have been a cover  for the attack. It would seem possible that it was being framed by the hacktivists. There also might be a chance that this was misinformation.
The attack fits with previous attacks from Vadare. But we have no concrete proof that this latest attack is definitely from Vadare. Therefore I am not very confident about this.,We can't be confident that Vadare is behind the attack if it came from CyberChaos Crew. It is possible that Vadare are paying or giving support to this group but we have no proof of this. The cyber attack fits with CyberChaosCrew's previous 12 months of activity
I am quite confident that Vadare is behind this cyber attack as we traced the attack back to the Vadare government computers. However we dont know if that attack was made by an individual or was from the government. However as we know all about Vadare in previous disputes the n it is very likely they were responsible.,The fact that activist group was actually behind the attack does not preclude responsbility for Vadare as they may have contacts with this group so I am still confident it could be still be Vadare who was behind this attack.
"If you assume you make an ass out of you and me. Before assuming that the cyber attacker was from Vadare, I would find out a bit more information. ",The new information does not tell me where the attackers are from. 
"I am confident that the cyber attack came from Vadare given how it has been traced back to computers stationed across the border. However, it is harder to say who exactly may be behind this.Given Vadare's capabilities for conducting cyber attacks and the current political situation between the two neighbours it must be seen as a clear possibility that the Vadare government is guilty. The questioning of our government's legitimacy by Vadare's president has laid a foundation upon which hostile actions may be conducted and the ongoing elections  have perhaps provided a trigger. However, the possibility that a rogue element within Vadare lies behind the cyber attack cannot be ruled out. Additionally, just because it has been launched from Vadare does not mean its funding/planning cannot have been conducted elsewhere.","Within my last assessment I had already considered the fact that a rogue element within Vadare may have been behind the attack, the new information seems to confirm the likelihood of this. This confirmation raises the possibility of the attack having a broader geographic origin than just Vadare and my lessening of confidence reflects this. The relationship between the activist hacking group and the Vadare government is not yet clear however. Furthermore, it still stands that the attack originated from computers in Vadare."
The security organisation has found links to Vadare and there has been lots of talk from Vadare about our country. I am not convinced it is necessarily from the government as I would need more actual proof. It is possible that someone in Vadare is responsible but not necessarily that the government is actually involved. I do not know what the Vadare government response is to the problem.,I do not know if the Vadare government is supportive of the CCC group or has any influence or dealings with it. I cannot be sure that the Vadare government is involved and would need more information about the group and other attacks they have carried out.
"Vadare has a vested interest in the election, having publicly supported a political system known for a severe lack of moral rectitude. The country has a history of performing similar attacks in the past. This coupled with a history of invasion suggests the attack on airtraffic control is an extension of the election disruption, possibly preparation for invasion if the election tampering is unsuccessful. However the vignette contains no details of the rest of the world stage. It would be possible for a third country interested in disrupting region for their own gains to spoof the attack and make Vadare appear guilty","There was always a possibility that the attack was spoofed, however it is still possible that the organisation responsible is sponsored by Vadare. There would need to be further investigation into the financial and political backgrounds of the individuals involved. This might be an 'independent' group being influenced by one or two agents of Vadare on only a few occasions"
The attack was traced back to Vardare by Idimore's National Crime Security Centre. Given there has been a series of disputes between both countries it was highly likely Vardare was the origin of the attack. The National Crime Security Centre investigation proved this was the case. ,"My previous assessment still stands. The National Cyber Security Security Centre traced the attack to Vadare. The investigation was highly likely to discover Vadare was the origin given the tension between the two countries, mainly instigated by Vadare whose sole intention is to take over Idimore. "
I am confident of Vadare role in this attack as they previously caused problems to us. They always pursue   have Both Idimore and Vadare have been involved in a series of disputes in the past that are often initiated by Vadare. Vadare is known to pursue thing with any means necessary. They have also shown support for a far right candidate who may not have got in power so the cyber attack would have helped.  ,Given new evidence it seems that vadare did not do the cyber attack. however the attack would have helped their preferred candidate. Also from previous experiences they would have seemed to have done this
"It is very likely, based on previous experience and knowledge, that Vadare are behing the cyber attack.  They have motive for it, and as they have done it before, they obviously have the skills.  However, there does not seem to be, as far as I have read, and actual positive proof that they commited the cyber attack, so there is the small possibility it could be someone else.","Less confident that it was Vardare given the new in formation, but I still don't know where this hactivist group came from, or how they are funded, or of they have been given information by Vadare to help target my country.  So Vardare could still be ultimately behind the attack."
Vadare usually initiate disputes so they have this going against them. NCSC traced the attack back to Vadare which substantiates they would have had something to do with it. Perhaps the cyber attack would also have been in their favour and so they had motive. ,The fact there is a  crew  out there who could have done this and would have a vested interest in doing this supports the theory. As they have given themselves a name and have history it sounds as though they would be open and proud of any attack that has taken place. 
"Given the current situation between the two countries, and the fact that the attack was traced to two computers in Vadare, they are obviously suspect. However, if an organization is advanced enough to take over a country's systems like this, who's to say they're not a third party that has taken over these computers in Vadare and then proceeded to attack our systems? Somewhat unlikely, but no one can say for sure.","These cyber organisations are usually made up from anonymous people potentially all around the globe, it is very hard to pinpoint who they are made up out of. It could have been done out of support for Vadare, but it could also be to harm them due to this harming their image. "
"It stated in the vignette that evidence to date indicates that the attack was started in the neighboring country.  I would have to assume that this information is reliable .  There is a history of troubles between the two countries so an attack like this is not our of the question.  Also with the support from Vadare's president for a New far right leader in the upcoming elections it would provide a potential motive for the attack, looking to cause disruption and potential regime change.","The information update didn't say where the cyber group are based or come from, just that they are known to carry out attacks on governments.  For this reason I couldn't say confidently whether the attack came from Vadare or not.  To do that more information is needed about the grouo, their past attacks and motives."
"There is an ongoing bitter dispute between my country Idimore and the neighbouring country Vadare, who have made no secret of their wish to disrupt the running of our country. This extends to their support for a far right wing political candidate who wishes to topple the existing government. It would be within Vadare's scope to orchestrate a cyber attack on Idimore for their own ends and it is therefore highly likely that they are behind it.","Although the cyber attack was shown to have come from CyberChaosCrew, I am still unconvinced that Vadare are not utlimately responsible, as perhaps they have paid CyberChaosCrew to undertake the attack as they have the IT knowledge to do this."
"Vadare is known to do cyberattacks and seems keen to undermine Idimore.However, no evidence has been produced that categorically proves that Vadare is responsible.  So, overall, it seems likely but it isn't proved.",It seems that there is evidence that a hacktivist group called  CyberChaosCrew  is responsible rather than Vadare.   CyberChaosCrew  are known to do theor atatcks for fun rather than politically motivated purposes.
Vadare is currently showing support for a particular candidate in the current campaign and challenging the current administration. They have continual experience in this kind of act and appear to be using this to challenge the administration. Therefore it is highly likely that they are the culprits of this attack in a bid to cause issues for the current election and administration.,"The new information suggests that this is being done by a group for fun, although it is unclear as to where these come from. It also could have been paid by Vadare to carry out the attackes, however there is now a level of uncertainty and evidence to confirm either way. Therefore the confidence level has reduced and further investigation would be required."
