enemy,age,male,country,cyber.event,cyber.crime,risk,pre.reason,post.reason,pre.conf,post.conf
1,37,1,United States,0.833,0.667,0.619,1,1,8,7
1,28,0,United States,0.833,0.667,0.571,0.5,1,8,6
1,41,1,United States,0.667,1,0.512,1,0.5,10,6
1,30,0,United States,1,1,0.345,1,0,10,5
1,36,0,United Kingdom,0.5,0.667,0.512,0.25,0.666666667,8,4
1,39,0,United Kingdom,0.667,0.667,0.107,0,1,6,5
1,29,1,Canada,0.833,0.333,0.274,0.5,0,6,4
1,38,1,New Zealand,0.5,0.667,0.405,0,0.333333333,7,5
1,40,0,United Kingdom,0.5,0.667,0.202,1,0,9,8
1,45,1,United Kingdom,1,0,0.476,0,1,1,1
1,27,0,United Kingdom,0.333,0.333,0.5,1,0,8,5
1,71,1,United States,0.5,1,0.571,1,1,9,8
1,49,0,United Kingdom,0.667,0.333,0.393,1,0,10,6
1,47,1,United States,0.833,0,0.488,0.5,0,5,3
1,33,0,United Kingdom,0.667,0.333,0.464,0.75,1,8,8
1,50,0,United Kingdom,1,0.667,0.429,0.25,1,7,6
1,53,0,United Kingdom,0.333,0.333,0.357,1,0,7,2
1,59,1,United States,0.833,0.333,0.405,0,0.5,10,3
1,58,0,United Kingdom,1,0.333,0.345,1,1,8,7
1,35,1,United States,0.833,0.333,0.298,0.5,0.5,7,3
1,58,0,United States,1,0.333,0.381,0.25,1,7,6
1,43,1,United Kingdom,0.833,0,0.298,1,0,8,5
1,62,0,United Kingdom,0.667,0.333,0.333,0.5,0.5,8,5
1,37,1,United Kingdom,0.833,1,0.548,1,0,6,4
1,40,1,United States,0.667,0.667,0.369,1,1,8,7
1,57,1,United Kingdom,1,0,0.655,0.5,0,8,7
1,25,1,United Kingdom,0.833,0,0.345,0.666666667,0,6,5
1,57,0,United States,0.667,0.667,0.75,0,1,8,5
1,45,0,United Kingdom,0.667,0,0.071,1,1,8,8
1,28,0,United Kingdom,0.667,0.667,0.369,1,1,9,4
1,57,1,United Kingdom,1,0,0.655,1,0.666666667,7,6
1,50,0,United Kingdom,0.667,0.333,0.405,1,0,9,6
1,28,0,United Kingdom,0.667,0.667,0.548,1,0,8,5
1,29,0,United Kingdom,1,0.333,0.595,1,1,7,7
1,41,0,United Kingdom,1,0.667,0.369,1,1,8,7
1,38,0,United Kingdom,0.667,0.333,0.405,0.5,1,7,7
1,41,1,Australia,1,0.333,0.31,1,0,9,8
1,35,1,United States,0.667,0.333,0.417,0.333333333,1,8,6
1,37,0,Canada,0.833,0,0.25,1,0,9,4
1,39,0,United Kingdom,0.5,0,0.214,0.5,1,7,7
1,23,1,United States,1,0,0.345,1,0,8,3
1,45,0,United States,0.667,0.333,0.69,1,1,8,6
1,39,1,Canada,0.833,0.667,0.262,1,0.666666667,9,7
1,36,0,United Kingdom,0.5,0,0.452,1,0.5,8,7
1,26,1,United Kingdom,1,0.333,0.381,0,1,4,3
1,23,1,Canada,0.833,0.667,0.726,0.5,0.333333333,8,6
1,26,0,Canada,0.5,0.333,0.345,1,0.666666667,9,7
1,35,0,United Kingdom,0.833,0.667,0.31,1,0,7,2
1,24,1,United Kingdom,0.5,0.667,0.619,0.333333333,1,9,9
1,31,1,United States,1,0.333,0.488,1,1,6,6
1,23,0,United Kingdom,0.833,0.333,0.429,0.666666667,0.5,7,6
1,31,1,United Kingdom,0.333,0.667,0.524,0.5,0,6,5
1,56,1,United Kingdom,0.667,0,0.524,0.666666667,0,10,1
1,48,0,United Kingdom,0.833,0,0.405,1,1,9,7
1,37,0,United Kingdom,1,1,0.69,0,1,8,7
1,45,0,United Kingdom,0.667,0,0.214,0.5,0.5,7,5
1,40,0,United Kingdom,0.667,0.333,0.393,0,0,5,7
1,53,0,United Kingdom,0.5,0,0.31,1,1,9,8
1,34,0,United Kingdom,0.833,0.333,0.536,1,0,8,5
1,44,0,United Kingdom,0.667,0,0.262,0.5,0,8,5
1,22,0,United States,1,0.333,0.476,0.666666667,0,8,7
1,23,0,United Kingdom,1,0.333,0.512,1,1,8,5
1,34,0,United Kingdom,0.667,0.667,0.571,1,0,8,7
1,26,0,United Kingdom,0.667,1,0.595,0.5,1,8,6
1,32,0,United Kingdom,0.667,0.333,0.524,1,0,10,3
1,41,1,United Kingdom,0.833,0.333,0.369,1,1,9,8
1,33,1,United States,1,0.667,0.464,1,1,8,5
1,53,1,United Kingdom,1,0.667,0.452,0.75,1,8,8
1,37,0,United Kingdom,0.833,0.667,0.036,1,0,8,4
1,29,0,United Kingdom,1,0.333,0.607,1,1,8,7
1,37,0,United Kingdom,0.667,0.667,0.274,1,1,6,6
1,42,0,United States,0.667,0.333,0.429,1,0.5,7,7
1,28,0,United Kingdom,0.5,0.667,0.429,1,0,6,4
1,62,1,United Kingdom,0.667,0,0.369,1,1,8,4
1,23,0,United Kingdom,1,0,0.321,0.5,1,7,5
1,38,1,United Kingdom,1,0.333,0.357,1,1,10,8
1,28,1,United Kingdom,0.833,0.333,0.429,1,0.4,7,1
1,28,0,United States,0.667,0.667,0.571,1,1,9,7
1,26,1,United Kingdom,0.667,0.667,0.774,1,0,9,2
1,34,0,United Kingdom,0.833,1,0.69,1,1,8,5
1,55,0,United Kingdom,0.5,0.667,0.298,1,0,7,2
1,23,0,United Kingdom,0.333,1,0.583,0,0,5,3
0,25,1,United Kingdom,0.833,0.333,0.631,1,0.5,10,10
0,37,0,United Kingdom,0.5,0.333,0.44,0,0.333333333,9,6
0,29,0,United Kingdom,0.667,0.333,0.06,0.5,0.5,7,5
0,41,0,United States,0.833,0.667,0.357,1,1,8,7
0,33,0,United Kingdom,0.5,0,0.488,1,0,8,5
0,23,1,United States,0.333,0.667,0.452,0.5,1,6,6
0,27,0,United Kingdom,0.167,0.667,0.369,0,0,6,3
0,51,1,United Kingdom,1,0.333,0.429,1,1,7,5
0,65,1,United Kingdom,0.833,0,0.583,0,0,6,4
0,46,0,United Kingdom,1,0,0.369,0.5,1,6,6
0,29,1,United Kingdom,0.833,0.667,0.512,0.333333333,0,8,6
0,41,0,United Kingdom,0.667,0.333,0.417,0,1,5,5
0,29,0,United Kingdom,1,0.667,0.321,0.2,0,6,4
0,32,0,United Kingdom,0.667,0.667,0.44,0.5,0,8,3
0,44,1,United Kingdom,1,0.333,0.321,1,0,7,4
0,32,0,United Kingdom,0.667,0,0.226,0.333333333,0,4,2
0,30,0,United Kingdom,0.5,0.333,0.69,1,1,10,10
0,45,0,Italy,1,0.333,0.298,1,0,8,4
0,43,0,United States,0.667,1,0.179,0.5,0,7,5
0,32,0,United Kingdom,0.5,0.333,0.214,0,0.5,4,5
0,41,0,United Kingdom,0.667,0.333,0.464,0.333333333,1,5,3
0,27,0,United Kingdom,1,0.667,0.381,0.5,0,9,8
0,35,0,United States,0.833,0.333,0.571,0.5,0.5,6,5
0,31,0,United Kingdom,0.667,0,0.476,1,0,8,2
0,65,1,United Kingdom,0.5,0.333,0.536,1,0,10,7
0,38,0,United Kingdom,0.833,0.333,0.262,0.333333333,0,7,5
0,44,1,United Kingdom,1,0.333,0.298,0.333333333,0.5,8,7
0,55,1,Canada,0.667,0.333,0.19,0.5,0,7,4
0,31,0,United States,0.667,0.333,0.345,0.333333333,0,8,4
0,24,1,United Kingdom,0.833,0.667,0.464,1,0,7,6
0,33,0,United States,0.833,0.667,0.381,0.666666667,0.5,8,6
0,40,0,United Kingdom,0.5,0.667,0.583,0.333333333,0.5,7,5
0,33,0,United States,0.667,0.667,0.345,1,1,8,8
