image,age,male,country,cyber.event,cyber.crime,risk,pre.reason,post.reason,pre.conf,post.conf
1,38,0,United Kingdom,0.667,0.333,0.429,0.667,0.5,7,4
1,46,0,United Kingdom,0.667,0.333,0.214,0.5,0.5,6,1
1,37,1,United Kingdom,1,0,0.333,0.667,1,8,7
1,33,0,United Kingdom,0.667,0,0.262,0,0.5,2,2
1,21,1,United Kingdom,0.667,0.333,0.381,0.571,0.5,8,7
1,48,0,United Kingdom,0.833,0.333,0.167,0.5,0.5,6,5
1,35,0,United Kingdom,0.667,0,0.167,0.5,0.333,7,5
1,59,0,United Kingdom,1,0,0.476,1,1,10,10
1,26,0,United Kingdom,0.5,0.667,0.5,1,0.667,8,5
1,46,0,United Kingdom,0.5,0.333,0.262,0.8,0.25,8,5
1,27,0,United Kingdom,0.667,0.333,0.167,1,0,8,9
1,25,1,Netherlands,0.667,0.333,0.357,0.667,0.333,8,5
1,35,0,United Kingdom,0.667,1,0.262,1,0.5,7,4
1,46,0,United Kingdom,0.833,1,0.214,1,0.5,9,8
1,52,1,United Kingdom,0.833,0.333,0.262,0.667,0,6,2
1,35,1,United Kingdom,0.667,1,0.333,1,0.667,8,4
1,34,1,United Kingdom,1,0.333,0.238,1,0.667,8,6
1,29,0,Australia,0.833,0.667,0.429,0.6,0.5,6,2
1,33,1,United Kingdom,0.833,1,0.405,1,1,7,6
1,43,0,United Kingdom,0.5,0.667,0.381,1,0.5,9,7
1,39,1,Turkey,0.667,0.333,0.357,0,0,5,5
1,38,0,United Kingdom,0.667,0.333,0.429,0.5,0.333,6,5
1,41,1,United Kingdom,0.833,0.333,0.286,1,1,8,6
1,38,1,United Kingdom,0.5,0,0.214,0.667,0.667,8,7
1,39,0,United Kingdom,1,0,0.357,0.667,0.5,9,7
1,29,0,United Kingdom,0.833,0.333,0.405,1,0.5,7,4
1,34,0,United Kingdom,0.833,1,0.5,1,0,7,2
1,25,0,United Kingdom,0.5,0.667,0.381,1,0,8,6
1,64,1,United Kingdom,0.667,0.333,0.048,0.5,0.5,7,1
1,43,1,United Kingdom,0.5,0.667,0.31,0.75,0.5,6,3
1,25,1,United Kingdom,0.833,0.333,0.405,1,0.667,8,5
1,42,1,United Kingdom,1,0.667,0.452,0.8,0.5,8,5
1,50,1,United Kingdom,0.833,0.333,0.238,0.667,0.5,8,4
1,57,0,United Kingdom,0.667,0,0.405,1,0.5,9,4
1,27,1,United Kingdom,0.833,0.667,0.429,1,0.5,7,4
1,26,1,United Kingdom,0.5,0.333,0.5,0.667,0,8,2
1,35,0,United Kingdom,1,0.333,0.286,1,0.667,9,6
1,31,0,Ireland,1,0.667,0.262,1,0.5,10,5
1,51,1,United Kingdom,0.833,0,0.452,1,1,9,4
1,23,1,United Kingdom,0.833,0.333,0.5,1,0,7,3
1,52,1,United Kingdom,0.833,0.333,0.452,0.5,0.333,8,3
1,47,0,United Kingdom,0.333,0.333,0.286,1,0.333,7,5
1,28,1,United Kingdom,1,0.667,0.452,0.333,0.5,7,5
1,57,0,United Kingdom,0.833,0,0.286,0.5,0.5,9,6
